# Quartic Well - state n = 4
# Parity (even=+1, odd=-1) = 1
# gamma =   1.4142136E+00
# epsilon (numeric) =   1.0244309E+01
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -7.4800000000E+00    3.1304472602E+03   -9.1525182158E-85    0.0000000000E+00    8.3768589690-169   -9.1525182158E-85    3.6275474744E-86
   -7.4720000000E+00    3.1170764421E+03   -1.7216994780E-84    0.0000000000E+00    2.9642490926-168   -1.7216994780E-84    6.7871392016E-86
   -7.4640000000E+00    3.1037485020E+03   -3.2343594006E-84    0.0000000000E+00    1.0461080732-167   -3.2343594006E-84    1.2681511418E-85
   -7.4560000000E+00    3.0904633482E+03   -6.0678383004E-84    0.0000000000E+00    3.6818661640-167   -6.0678383004E-84    2.3662819417E-85
   -7.4480000000E+00    3.0772208891E+03   -1.1368289480E-83    0.0000000000E+00    1.2923800571-166   -1.1368289480E-83    4.4093419135E-85
   -7.4400000000E+00    3.0640210330E+03   -2.1270233707E-83    0.0000000000E+00    4.5242284197-166   -2.1270233707E-83    8.2052814367E-85
   -7.4320000000E+00    3.0508636884E+03   -3.9743491967E-83    0.0000000000E+00    1.5795451537-165   -3.9743491967E-83    1.5248467831E-84
   -7.4240000000E+00    3.0377487641E+03   -7.4161245839E-83    0.0000000000E+00    5.4998903844-165   -7.4161245839E-83    2.8299095734E-84
   -7.4160000000E+00    3.0246761687E+03   -1.3819930367E-82    0.0000000000E+00    1.9099047535-164   -1.3819930367E-82    5.2448507773E-84
   -7.4080000000E+00    3.0116458110E+03   -2.5718944826E-82    0.0000000000E+00    6.6146412298-164   -2.5718944826E-82    9.7075256255E-84
   -7.4000000000E+00    2.9986576000E+03   -4.7799076219E-82    0.0000000000E+00    2.2847516874-163   -4.7799076219E-82    1.7943178989E-83
   -7.3920000000E+00    2.9857114447E+03   -8.8716731926E-82    0.0000000000E+00    7.8706585236-163   -8.8716731926E-82    3.3121215868E-83
   -7.3840000000E+00    2.9728072542E+03   -1.6444166036E-81    0.0000000000E+00    2.7041059661-162   -1.6444166036E-81    6.1056203302E-83
   -7.3760000000E+00    2.9599449377E+03   -3.0439608889E-81    0.0000000000E+00    9.2656978933-162   -3.0439608889E-81    1.1240110062E-82
   -7.3680000000E+00    2.9471244046E+03   -5.6271409120E-81    0.0000000000E+00    3.1664714844-161   -5.6271409120E-81    2.0664703682E-82
   -7.3600000000E+00    2.9343455642E+03   -1.0388638456E-80    0.0000000000E+00    1.0792380896-160   -1.0388638456E-80    3.7940779880E-82
   -7.3520000000E+00    2.9216083260E+03   -1.9153678965E-80    0.0000000000E+00    3.6686341788-160   -1.9153678965E-80    6.9566856945E-82
   -7.3440000000E+00    2.9089125998E+03   -3.5267048649E-80    0.0000000000E+00    1.2437647204-159   -3.5267048649E-80    1.2738496495E-81
