# Quartic Well - state n = 3
# Parity (even=+1, odd=-1) = -1
# gamma =   1.4142136E+00
# epsilon (numeric) =   7.3357301E+00
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -7.3760000000E+00    2.9599449377E+03   -7.9450736908E-82    0.0000000000E+00    6.3124195952-163   -7.9450736908E-82    7.3608443429E-84
   -7.3680000000E+00    2.9471244046E+03   -1.4691882479E-81    0.0000000000E+00    2.1585141077-162   -1.4691882479E-81    1.3536913244E-83
   -7.3600000000E+00    2.9343455642E+03   -2.7131847511E-81    0.0000000000E+00    7.3613714933-162   -2.7131847511E-81    2.4861676548E-83
   -7.3520000000E+00    2.9216083260E+03   -5.0038502843E-81    0.0000000000E+00    2.5038517668-161   -5.0038502843E-81    4.5599548022E-83
   -7.3440000000E+00    2.9089125998E+03   -9.2162209201E-81    0.0000000000E+00    8.4938728048-161   -9.2162209201E-81    8.3523873854E-83
   -7.3360000000E+00    2.8962582951E+03   -1.6952185200E-80    0.0000000000E+00    2.8737658304-160   -1.6952185200E-80    1.5278520085E-82
   -7.3280000000E+00    2.8836453218E+03   -3.1140340333E-80    0.0000000000E+00    9.6972079606-160   -3.1140340333E-80    2.7910854010E-82
   -7.3200000000E+00    2.8710735898E+03   -5.7127666943E-80    0.0000000000E+00    3.2635703303-159   -5.7127666943E-80    5.0919806095E-82
   -7.3120000000E+00    2.8585430090E+03   -1.0466360786E-79    0.0000000000E+00    1.0954470811-158   -1.0466360786E-79    9.2773244015E-82
   -7.3040000000E+00    2.8460534897E+03   -1.9150124719E-79    0.0000000000E+00    3.6672727675-158   -1.9150124719E-79    1.6880361218E-81
   -7.2960000000E+00    2.8336049420E+03   -3.4992487601E-79    0.0000000000E+00    1.2244741885-157   -3.4992487601E-79    3.0673570008E-81
   -7.2880000000E+00    2.8211972761E+03   -6.3856622784E-79    0.0000000000E+00    4.0776682734-157   -6.3856622784E-79    5.5663577735E-81
   -7.2800000000E+00    2.8088304026E+03   -1.1637658415E-78    0.0000000000E+00    1.3543509338-156   -1.1637658415E-78    1.0087945246E-80
   -7.2720000000E+00    2.7965042318E+03   -2.1181387701E-78    0.0000000000E+00    4.4865118494-156   -2.1181387701E-78    1.8258274387E-80
   -7.2640000000E+00    2.7842186744E+03   -3.8501085183E-78    0.0000000000E+00    1.4823335603-155   -3.8501085183E-78    3.3002190115E-80
   -7.2560000000E+00    2.7719736410E+03   -6.9891104252E-78    0.0000000000E+00    4.8847664535-155   -6.9891104252E-78    5.9573404439E-80
   -7.2480000000E+00    2.7597690425E+03   -1.2670735282E-77    0.0000000000E+00    1.6054753259-154   -1.2670735282E-77    1.0739629723E-79
   -7.2400000000E+00    2.7476047898E+03   -2.2941052067E-77    0.0000000000E+00    5.2629186992-154   -2.2941052067E-77    1.9335438873E-79
   -7.2320000000E+00    2.7354807937E+03   -4.1481748527E-77    0.0000000000E+00    1.7207354609-153   -4.1481748527E-77    3.4765397806E-79
   -7.2240000000E+00    2.7233969655E+03   -7.4908931566E-77    0.0000000000E+00    5.6113480283-153   -7.4908931566E-77    6.2426562553E-79
   -7.2160000000E+00    2.7113532163E+03   -1.3509634187E-76    0.0000000000E+00    1.8251021588-152   -1.3509634187E-76    1.1194927766E-78
   -7.2080000000E+00    2.6993494573E+03   -2.4332550211E-76    0.0000000000E+00    5.9207299975-152   -2.4332550211E-76    2.0049494690E-78
   -7.2000000000E+00    2.6873856000E+03   -4.3768970654E-76    0.0000000000E+00    1.9157227921-151   -4.3768970654E-76    3.5860507836E-78
   -7.1920000000E+00    2.6754615558E+03   -7.8628559281E-76    0.0000000000E+00    6.1824503346-151   -7.8628559281E-76    6.4056162029E-78
   -7.1840000000E+00    2.6635772363E+03   -1.4106854835E-75    0.0000000000E+00    1.9900335334-150   -1.4106854835E-75    1.1427138037E-77
   -7.1760000000E+00    2.6517325532E+03   -2.5276479470E-75    0.0000000000E+00    6.3890041442-150   -2.5276479470E-75    2.0358544269E-77
   -7.1680000000E+00    2.6399274183E+03   -4.5231406769E-75    0.0000000000E+00    2.0458801583-149   -4.5231406769E-75    3.6223404193E-77
   -7.1600000000E+00    2.6281617434E+03   -8.0835353632E-75    0.0000000000E+00    6.5343543968-149   -8.0835353632E-75    6.4367361008E-77
   -7.1520000000E+00    2.6164354404E+03   -1.4427827508E-74    0.0000000000E+00    2.0816220660-148   -1.4427827508E-74    1.1422907326E-76
   -7.1440000000E+00    2.6047484215E+03   -2.5718137058E-74    0.0000000000E+00    6.6142257375-148   -2.5718137058E-74    2.0245230097E-76
   -7.1360000000E+00    2.5931005989E+03   -4.5784413177E-74    0.0000000000E+00    2.0962124900-147   -4.5784413177E-74    3.5834760144E-76
   -7.1280000000E+00    2.5814918847E+03   -8.1402172057E-74    0.0000000000E+00    6.6263136156-147   -8.1402172057E-74    6.3346498587E-76
   -7.1200000000E+00    2.5699221914E+03   -1.4454236115E-73    0.0000000000E+00    2.0892494165-146   -1.4454236115E-73    1.1183497948E-75
   -7.1120000000E+00    2.5583914313E+03   -2.5632780667E-73    0.0000000000E+00    6.5703944470-146   -2.5632780667E-73    1.9718335515E-75
