# Quartic Well - state n = 2
# Parity (even=+1, odd=-1) = 1
# gamma =   1.4142136E+00
# epsilon (numeric) =   4.6967954E+00
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -6.9040000000E+00    2.2719728163E+03    1.2327021965E-67    0.0000000000E+00    1.5195547051-134    1.2327021965E-67    2.9510144799E-69
   -6.8960000000E+00    2.2614605248E+03    2.1132235679E-67    0.0000000000E+00    4.4657138477-134    2.1132235679E-67    5.0285875177E-69
   -6.8880000000E+00    2.2509847554E+03    3.6181928553E-67    0.0000000000E+00    1.3091319538-133    3.6181928553E-67    8.5580649800E-69
   -6.8800000000E+00    2.2405454234E+03    6.1872488918E-67    0.0000000000E+00    3.8282048849-133    6.1872488918E-67    1.4546571639E-68
   -6.8720000000E+00    2.2301424442E+03    1.0567291516E-66    0.0000000000E+00    1.1166764999-132    1.0567291516E-66    2.4694590785E-68
   -6.8640000000E+00    2.2197757333E+03    1.8025637599E-66    0.0000000000E+00    3.2492361084-132    1.8025637599E-66    4.1869689535E-68
   -6.8560000000E+00    2.2094452064E+03    3.0709945538E-66    0.0000000000E+00    9.4310075497-132    3.0709945538E-66    7.0901427640E-68
   -6.8480000000E+00    2.1991507792E+03    5.2255203014E-66    0.0000000000E+00    2.7306062420-131    5.2255203014E-66    1.1991352283E-67
   -6.8400000000E+00    2.1888923674E+03    8.8806086745E-66    0.0000000000E+00    7.8865210430-131    8.8806086745E-66    2.0255356718E-67
   -6.8320000000E+00    2.1786698869E+03    1.5073678445E-65    0.0000000000E+00    2.2721578188-130    1.5073678445E-65    3.4172031031E-67
   -6.8240000000E+00    2.1684832538E+03    2.5554047523E-65    0.0000000000E+00    6.5300934482-130    2.5554047523E-65    5.7578647603E-67
   -6.8160000000E+00    2.1583323841E+03    4.3267789346E-65    0.0000000000E+00    1.8721015949-129    4.3267789346E-65    9.6897486067E-67
   -6.8080000000E+00    2.1482171941E+03    7.3170309318E-65    0.0000000000E+00    5.3538941657-129    7.3170309318E-65    1.6286379529E-66
   -6.8000000000E+00    2.1381376000E+03    1.2358645360E-64    0.0000000000E+00    1.5273611515-128    1.2358645360E-64    2.7339980104E-66
   -6.7920000000E+00    2.1280935182E+03    2.0848425539E-64    0.0000000000E+00    4.3465684745-128    2.0848425539E-64    4.5838885391E-66
   -6.7840000000E+00    2.1180848653E+03    3.5127131661E-64    0.0000000000E+00    1.2339153787-127    3.5127131661E-64    7.6759603940E-66
   -6.7760000000E+00    2.1081115578E+03    5.9112559763E-64    0.0000000000E+00    3.4942947217-127    5.9112559763E-64    1.2837924974E-65
   -6.7680000000E+00    2.0981735123E+03    9.9353944702E-64    0.0000000000E+00    9.8712063278-127    9.9353944702E-64    2.1444749780E-65
   -6.7600000000E+00    2.0882706458E+03    1.6678590811E-63    0.0000000000E+00    2.7817539144-126    1.6678590811E-63    3.5777647846E-65
   -6.7520000000E+00    2.0784028750E+03    2.7964245281E-63    0.0000000000E+00    7.8199901415-126    2.7964245281E-63    5.9616688530E-65
   -6.7440000000E+00    2.0685701169E+03    4.6829226108E-63    0.0000000000E+00    2.1929764178-125    4.6829226108E-63    9.9217843935E-65
   -6.7360000000E+00    2.0587722887E+03    7.8325217101E-63    0.0000000000E+00    6.1348396340-125    7.8325217101E-63    1.6492185239E-64
   -6.7280000000E+00    2.0490093075E+03    1.3084514175E-62    0.0000000000E+00    1.7120451120-124    1.3084514175E-62    2.7380017143E-64
   -6.7200000000E+00    2.0392810906E+03    2.1831600948E-62    0.0000000000E+00    4.7661879995-124    2.1831600948E-62    4.5400112639E-64
   -6.7120000000E+00    2.0295875553E+03    3.6381966882E-62    0.0000000000E+00    1.3236475142-123    3.6381966882E-62    7.5187987123E-64
   -6.7040000000E+00    2.0199286192E+03    6.0556391916E-62    0.0000000000E+00    3.6670766019-123    6.0556391916E-62    1.2436807438E-63
   -6.6960000000E+00    2.0103041997E+03    1.0067175849E-61    0.0000000000E+00    1.0134802958-122    1.0067175849E-61    2.0546549363E-63
   -6.6880000000E+00    2.0007142147E+03    1.6715900800E-61    0.0000000000E+00    2.7942133955-122    1.6715900800E-61    3.3903069983E-63
   -6.6800000000E+00    1.9911585818E+03    2.7722155944E-61    0.0000000000E+00    7.6851793018-122    2.7722155944E-61    5.5874019011E-63
   -6.6720000000E+00    1.9816372189E+03    4.5919793441E-61    0.0000000000E+00    2.1086274297-121    4.5919793441E-61    9.1971265362E-63
   -6.6640000000E+00    1.9721500439E+03    7.5971233187E-61    0.0000000000E+00    5.7716282719-121    7.5971233187E-61    1.5120508193E-62
   -6.6560000000E+00    1.9626969751E+03    1.2553804843E-60    0.0000000000E+00    1.5759801604-120    1.2553804843E-60    2.4828655366E-62
   -6.6480000000E+00    1.9532779304E+03    2.0719493602E-60    0.0000000000E+00    4.2929741512-120    2.0719493602E-60    4.0720510085E-62
   -6.6400000000E+00    1.9438928282E+03    3.4155534626E-60    0.0000000000E+00    1.1666005456-119    3.4155534626E-60    6.6703254825E-62
   -6.6320000000E+00    1.9345415868E+03    5.6236961264E-60    0.0000000000E+00    3.1625958122-119    5.6236961264E-60    1.0913279059E-61
   -6.6240000000E+00    1.9252241246E+03    9.2483026077E-60    0.0000000000E+00    8.5531101123-119    9.2483026077E-60    1.7833579549E-61
   -6.6160000000E+00    1.9159403604E+03    1.5190856648E-59    0.0000000000E+00    2.3076212569-118    1.5190856648E-59    2.9106998615E-61
   -6.6080000000E+00    1.9066902126E+03    2.4922015843E-59    0.0000000000E+00    6.2110687369-118    2.4922015843E-59    4.7449602303E-61
   -6.6000000000E+00    1.8974736000E+03    4.0838084093E-59    0.0000000000E+00    1.6677491124-117    4.0838084093E-59    7.7258200543E-61
   -6.5920000000E+00    1.8882904415E+03    6.6838925557E-59    0.0000000000E+00    4.4674419697-117    6.6838925557E-59    1.2564177734E-60
   -6.5840000000E+00    1.8791406561E+03    1.0926374730E-58    0.0000000000E+00    1.1938566474-116    1.0926374730E-58    2.0408055924E-60
   -6.5760000000E+00    1.8700241627E+03    1.7840452800E-58    0.0000000000E+00    3.1828175611-116    1.7840452800E-58    3.3109139400E-60
   -6.5680000000E+00    1.8609408806E+03    2.9095071326E-58    0.0000000000E+00    8.4652317547-116    2.9095071326E-58    5.3650460255E-60
   -6.5600000000E+00    1.8518907290E+03    4.7393346074E-58    0.0000000000E+00    2.2461292520-115    4.7393346074E-58    8.6831824291E-60
   -6.5520000000E+00    1.8428736271E+03    7.7108158393E-58    0.0000000000E+00    5.9456680908-115    7.7108158393E-58    1.4036696937E-59
   -6.5440000000E+00    1.8338894945E+03    1.2530515088E-57    0.0000000000E+00    1.5701380836-114    1.2530515088E-57    2.2663764894E-59
   -6.5360000000E+00    1.8249382507E+03    2.0338727222E-57    0.0000000000E+00    4.1366382502-114    2.0338727222E-57    3.6549457516E-59
   -6.5280000000E+00    1.8160198154E+03    3.2973533978E-57    0.0000000000E+00    1.0872539430-113    3.2973533978E-57    5.8872458349E-59
   -6.5200000000E+00    1.8071341082E+03    5.3394277795E-57    0.0000000000E+00    2.8509489012-113    5.3394277795E-57    9.4716659853E-59
   -6.5120000000E+00    1.7982810489E+03    8.6359885096E-57    0.0000000000E+00    7.4580297538-113    8.6359885096E-57    1.5220333061E-58
   -6.5040000000E+00    1.7894605577E+03    1.3951411043E-56    0.0000000000E+00    1.9464187009-112    1.3951411043E-56    2.4429024600E-58
